2239  -0.01362   0.00021   0.00058   0.00086   3.79440   -0.50070
2240  -0.01343   0.00016   -0.00429   -0.00017   -0.20040   -0.49960
2241  -0.01368   0.00028   -0.00791   -0.00109   -3.20000   -0.49860
2244  -0.02062   0.00199   -0.00209   0.00057   1.79210   -3.49750
2256  -0.14708   -0.00019   -0.00659   0.00044   -0.19730   -0.49950
2257  0.11950   -0.00039   -0.00197   0.00010   -0.20050   -0.49840
1694  -0.14917   -0.00022   0.00066   0.00052   -0.74090   0.49320
1695  0.11757   -0.00030   0.00029   0.00023   -0.73930   0.50480
1696  -0.01550   0.00040   0.00014   -0.00014   -0.74530   0.49710
2239  -0.01362   0.00021   0.00465   0.00088   3.79440   -0.50070
2240  -0.01342   0.00024   -0.00020   -0.00014   -0.20040   -0.49960
2241  -0.01368   0.00038   -0.00375   -0.00108   -3.20000   -0.49860
2244  -0.02060   0.00215   0.00216   0.00055   1.79210   -3.49750
2245  -0.02084   0.00207   -0.00261   -0.00082   -2.20830   -3.49700
2256  -0.14708   -0.00023   0.00026   0.00050   -0.19730   -0.49950
2257  0.11951   -0.00057   -0.00010   0.00012   -0.20050   -0.49840
